# ===== Event / Common =====
KOP7th
KING of Performai
Performai	ぱふぉーまい
[HALO]	はろー
Invisible Frenzy	いんゔぃじぶるふれんじー
MANIERA REMASTERED	まにえら りますたーど
Nýx	にくす
Sage	せーじ
Sparking Revolver	すぱーきんぐ りゔぉるゔぁー
Synthesis.	しんせしす
Titania	てぃたにあ
Viyella's Scream	ゔぃえら すくりーむ
Sakuzyo	さくじょ
淵底のグレイ・ユークロニア	えんていのぐれい ゆーくろにあ
オンソクデイズ!!	おんそくでいず
浮世絵横丁	うきよえよこちょう
蜘蛛の糸	くものいと
シリウスの輝きのように	しりうすのかがやきのように
And Revive The Melody	あんど りばいぶ ざ めろでぃー
DIE IN	だい いん
Distorted Fate	でぃすとーてっど ふぇいと
FestA of PandemoniuM	ふぇすた おぶ ぱんでもにうむ
girls.exe	がーるず えぐぜ
I Wanna	あい わな
Lazulis Gambit	らずりす がんびっと
lovelynonsense	らぶりーのんせんす
Magical Panic Adventure	まじかる ぱにっく あどべんちゃー
MarbleBlue.	まーぶるぶるー
MeteorSnow	みーてぃあすのー
MY GLORY WANTED!!!	まい ぐろーりー うぉんてっど
Op.I《fear-TITΛN-》	おぷ.わん ふぃあー たいたん
Opfer	おぷふぁー
POTENTIAL	ぽてんしゃる
Sargasso	さるがっそ
Scythe of Death	さいす おぶ です
Selenadia	せれなでぃあ
Stardust:RAY	すたーだすと れい
Stellar:Dream	すてらー どりーむ
Λzure Vixen	あずーる ゔぃくせん
μ3	みゅーさん
ω4	おめがふぉー
光焔のラテラルアーク	こうえんのらてらるあーく
宿星審判	しゅくせいしんぱん
脳天直撃	のうてんちょくげき
雪男	ゆきおとこ
Recollect Lines	りこれくと らいんず
Finite	ふぁいないと
ΩΩPARTS	おめがおめがぱーつ
HAELEQUIN (Original Remaster)	はえれきん おりじなる りますたー
★LittlE HearTs★	りとる はーつ
Dengeki Tube	でんげき ちゅーぶ
Love & Justice	らぶ あんど じゃすてぃす
Contrapasso -inferno-	こんとらぱっそ いんふぇるの
otorii INNOVATED -[i]3-	おとりー いーのゔぇいてっど あいさん
《破滅》 ～ Rhapsody for The End	はめつ らぷそでぃー ふぉー ざ えんど
Reverberate	りゔぁーべれいと
ZegalltA	ぜがるた
LibrariA	りぶらりあ
hyperreality	はいぱーりありてぃー
What's up? Pop!	わっつ あっぷ ぽっぷ
玩具狂奏曲 -終焉-	おもちゃきょうそうきょく しゅうえん
Trrricksters!!	とりっくすたーず
X7124	えっくすななせんにじゅうよん
parvorbital	ぱるゔおーびたる
Strange Love	すとれんじ らぶ
Disruptor Array	でぃすらぷたー あれい
リ・フィクション・O	り ふぃくしょん おー
Galaxy Collapse	ぎゃらくしー こらぷす
キミとボクへの葬送歌	きみとぼくへのそうそうか
TiamaT:F minor	てぃあまっと えふまいなー
Killing Rhythm	きりんぐ りずむ
The Devil Incarnate	ざ でびる いんかーねいと
HeinousЯeaper	へいのす りーぱー
Everything Will Be One	えぶりしんぐ うぃる びー わん
OUTRAGE	あうとれーじ
輪廻玲々	りんねれいれい
To：Be Continued	とぅー びー こんてぃにゅーど
ラストピースに祝福と栄光を	らすとぴーすにしゅくふくとえいこうを
Aether Crest: Celestial	えーてる くれすと せれすてぃある
混沌を越えし我らが神聖なる調律主を讃えよ	こんとんをこえしわれらがしんせいなるちょうりつしゅをたたえよ
World Vanquisher	わーるど ばんくぃっしゅー
業 -善なる神とこの世の悪について-	ごう よきなるかみとこのよのあくについて
The Metaverse -First story of the SeelischTact-	ざ めたばーす ふぁーすとすとーりー おぶ ざ しーりっしゅたくと
祈 -我ら神祖と共に歩む者なり-	いのり われらがしんそとともにあゆむものなり
MALKUTH -The Last Ruler of Terrestrials-	まるくーと ざ らすと るーらー おぶ てれすとりあるず
DA'AT -The First Seeker of Souls-	だーと ざ ふぁーすと しーかー おぶ そうるず
グラウンドスライダー協奏曲第一番「風唄」	ぐらうんどすらいだー きょうそうきょく だいいちばん かぜうた
Daphnis	だふにす
Makear	まきあー
